[8, 6, '1', 'Explanation']
[2, 10, '1', 'Others']
[5, 8, '-1', 'Others']
[12, 4, '-1', 'Expert']
[14, 15, '1', 'Research']
[7, 6, '1', 'Case']
[7, 13, '1', 'Explanation']
[5, 12, '1', 'Expert']
[15, 4, '1', 'Research']
[6, 13, '1', 'Expert']
[13, 10, '-1', 'Case']
[3, 14, '1', 'Others']
[9, 8, '1', 'Expert']
[13, 5, '-1', 'Explanation']
[14, 2, '-1', 'Others']
[13, 8, '1', 'Case']
[4, 10, '1', 'Others']
[8, 11, '-1', 'Explanation']
[7, 14, '-1', 'Explanation']
[3, 8, '-1', 'Others']
[15, 15, '-1', 'Others']
[2, 12, '-1', 'Others']
[5, 15, '1', 'Case']
[5, 3, '1', 'Research']
[1, 3, '1', 'Case']
[11, 11, '-1', 'Others']
[7, 4, '1', 'Explanation']
[10, 13, '1', 'Expert']
[15, 4, '-1', 'Others']
[9, 8, '1', 'Others']
[11, 9, '1', 'Expert']
[7, 4, '-1', 'Others']
[4, 1, '1', 'Research']
[5, 13, '-1', 'Expert']
[12, 13, '-1', 'Explanation']
[14, 10, '1', 'Expert']
[4, 8, '1', 'Expert']
[3, 15, '1', 'Explanation']
[9, 4, '-1', 'Expert']
[7, 4, '-1', 'Case']
[7, 13, '-1', 'Research']
[13, 2, '-1', 'Explanation']
[1, 8, '-1', 'Explanation']
[7, 14, '1', 'Explanation']
[6, 9, '1', 'Expert']
[9, 1, '1', 'Others']
[11, 13, '-1', 'Others']
[12, 8, '-1', 'Expert']
[9, 9, '-1', 'Others']
[4, 7, '-1', 'Expert']
[3, 11, '-1', 'Research']
[11, 2, '-1', 'Case']
[10, 4, '-1', 'Others']
[1, 9, '-1', 'Others']
[7, 3, '-1', 'Research']
[10, 9, '-1', 'Research']
[2, 9, '1', 'Explanation']
[9, 3, '-1', 'Research']
[11, 4, '-1', 'Research']
[11, 10, '1', 'Expert']
[14, 4, '1', 'Research']
[12, 1, '1', 'Explanation']
[1, 5, '-1', 'Case']
[13, 2, '1', 'Explanation']
[15, 1, '-1', 'Case']
[2, 9, '1', 'Expert']
[15, 8, '1', 'Others']
[13, 1, '1', 'Expert']
[7, 6, '-1', 'Others']
[6, 13, '-1', 'Expert']
[4, 1, '-1', 'Research']
[13, 4, '-1', 'Case']
[8, 6, '-1', 'Explanation']
[6, 15, '1', 'Expert']
[3, 1, '1', 'Explanation']
